a,b,y
-0.887332328595221,2.1456629801541567,5.306191171411847
1.6726541090756655,2.460333009250462,10.382918652058867
-1.8392779408022761,2.78282911516726,12.045327316586274
-1.0303258830681443,-0.6391516327857971,3.7364501145397258
-0.8231844548135996,0.7088426351547241,3.8933924600760106
-0.3247402096167207,0.8583955550566316,2.639811333025893
-1.9100785627961159,-0.3316379599273205,10.190849910586005
-0.24441635981202126,0.9396942658349872,2.5951298693330123
0.21484355814754963,2.377291515469551,3.71261182312164
0.09959408547729254,1.5493107754737139,2.963254176847911
-1.6936722416430712,2.450852397829294,10.545143507332874
-0.5983842387795448,2.011856121942401,4.168837770881382
-0.7060284493491054,1.7115799952298403,4.265606807280598
1.4724623812362552,2.2613592483103275,8.712636512622526
-0.7824989939108491,0.4943701336160302,3.565027328024403
0.6777836410328746,2.8742879601195455,5.101967961819909
1.5764170112088323,1.362308993935585,8.754064618897079
-1.7720712618902326,1.4157430548220873,10.369162181179048
1.064742579124868,-0.04225777089595795,4.387018006806775
0.9027391728013754,-0.896629742346704,2.9385474399869045
1.294570037163794,0.7202511662617326,6.298388727702827
-1.0811280459165573,2.6474575782194734,6.623176906577228
-1.3786516971886158,-0.12893461342900991,6.1584855144433135
-0.3234000578522682,-0.9223580257967114,1.2131238131678719
-0.48925759829580784,1.7587683172896504,3.681509847808157
-1.0248801968991756,-0.5550263812765479,3.7768894981693846
-0.22930250316858292,-0.8406319255009294,1.1536855907017638
-1.6677167629823089,-0.6345643689855933,7.867418588488782
1.8045315891504288,-0.6540481625124812,8.991963684970267
-0.009481466375291348,-0.16830181796103716,1.565574301322272
-0.7049809992313385,-0.38585511315613985,2.5841116117404073
0.5069435685873032,0.8908670134842396,3.029473886944263
-1.1024133330211043,-0.04651296604424715,4.5795460035390825
-1.6590928100049496,2.412655547261238,10.236337923113277
-0.36731530632823706,0.22887456603348255,2.2069089350580016
-1.3372942116111517,0.20913301408290863,6.159360351447187
-1.5519399950280786,-0.9936293382197618,6.685539125026796
